writer,num_articles,gender,last_url
Neetu Chandak,12,unknown,https://www.infowars.com/5-year-old-boy-shows-real-signs-of-recovery-following-mall-of-america-attack/#vuukle-comments
Jena Greene,109,female,https://dailycaller.com/2018/09/21/howie-mandel-political-correctness/
Chuck Ross,247,male,https://www.infowars.com/trump-offers-to-meet-kim-jong-un-during-g20-trip-just-to-say-hello/#vuukle-comments
Michael Bastasch,13,male,https://www.infowars.com/very-expensive-climate-change-bill-to-cut-co2-emissions-0-3-over-30-years/
Jason Hopkins,19,male,https://www.infowars.com/officials-accuse-dhs-chief-of-personally-sabotaging-trumps-planned-ice-raids/#vuukle-comments
Grace Carr,149,male,https://dailycaller.com/2019/04/02/nasa-finalists-shelters-mars/
David Hookstead,1564,male,https://dailycaller.com/2019/06/03/texas-longhorns-team-gpa-tweet-2-89/
Derek Hunter,117,male,https://dailycaller.com/2019/06/18/trump-should-do-more-interviews/
Amber Athey,3,female,https://www.infowars.com/media-puts-border-patrol-on-the-hook-for-another-illegal-immigrant-death/#vuukle-comments
Luke Rosiak,2,male,https://dailycaller.com/2019/04/26/fbi-christopher-steele-credibility/
Scott Morefield,299,male,https://dailycaller.com/2019/06/18/president-trump-angry-left-wing-mob/
Mike Brest,474,male,https://dailycaller.com/2018/12/05/tucker-new-york-guns-social-media/
William Davis,343,male,https://dailycaller.com/2019/05/13/orin-julie-idf-america-israel-guns/
Kevin Oliver,5,male,https://dailycaller.com/2019/04/23/mothers-day-sale-save-23andme-health-ancestry-kit-dna-deal/
Chris White,18,male,https://www.infowars.com/study-leaked-huawei-resumes-reveal-extensive-ties-to-chinese-intel-agencies/#vuukle-comments
Molly Prince,5,female,https://www.infowars.com/crenshaw-scolds-omar-ocasio-cortez-for-dishonest-attack-im-the-guy-who-went-overseas-after-9-11/#vuukle-comments
Dr. Peter Pry,1,unknown,https://dailycaller.com/2018/12/11/carnage-death-emp/
Raheem Kassam,7,unknown,https://dailycaller.com/2019/04/04/kassam-british-democracy/
Doyle Rice,1,male,https://www.usatoday.com/news/weather/
Robert Farley,3,male,https://slate.com/culture/2019/05/battle-kings-landing-got-military-analysis-tactics.html
Ross K. Baker,1,male,http://www.latimes.com/opinion/op-ed/la-oe-baker-disapproval-vote-senate-emergency-declaration-20190312-story.html
Scott Jennings,9,male,http://www.latimes.com/opinion/op-ed/la-oe-jennings-debates-democrats-20190627-story.html
James Masters,6,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/gHDHnyWOpJE/index.html
Eliza Mackintosh,8,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/BC2Agk1qbw8/index.html
David Shortell,6,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/CnxdG0myCqo/index.html
Sandra Gonzalez,74,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/6SOQgardzfI/index.html
Nicole Chavez,23,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/YQ9SWnq6hUc/index.html
Jay Croft,10,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/RkbJhvsj3ak/index.html
Joe Sutton,3,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/oGmGUDkc7_w/index.html
Kate Bennett,10,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/BpwWO3Vih1w/index.html
Emanuella Grinberg,16,unknown,http://rss.cnn.com/~r/rss/cnn_topstories/~3/1BmnZlaJlMM/index.html
Naomi Thomas,3,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Ppf4HPQnSdQ/index.html
Doug Criss,24,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/wEXsOVs8qAo/index.html
Lisa Respers France,226,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/cJJfcSAKuAI/index.html
Katie Lobosco,4,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/lnrOhmMKCCI/index.html
Chloe Melas,89,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/SuL8aCXyL0c/index.html
Jill Filipovic,31,female,https://www.theguardian.com/commentisfree/2019/jul/09/jeffrey-epstein-sings-like-a-bird-and-if-some-democrats-go-down-so-be-it
Melissa Blake,4,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/n-MGRgdWDmQ/index.html
Erica Orden,7,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/LGXP0vES7HQ/index.html
Sophie Tatum,9,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/wPYQ2I3eWg8/index.html
Kara Scannell,3,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/zlftHaXiOZk/index.html
Maegan Vazquez,15,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Uqw350iR2V8/index.html
Ben Westcott,13,male,https://edition.cnn.com/2019/07/03/asia/china-xinjiang-surveillance-nyt-intl-hnk/index.html
Brian Lowry,73,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/qovDTDSBa-0/index.html
Jacqueline Howard,28,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/C8R9vzdSddE/index.html
Patti Neighmond,16,female,https://www.npr.org/sections/health-shots/2019/07/07/737618560/with-rural-health-care-stretched-thin-more-patients-turn-to-telehealth
Terry Gross,13,male,https://www.npr.org/2019/05/15/723531128/fresh-air-remembers-hollywood-legend-doris-day
Martin Kaste,4,male,https://www.npr.org/2019/06/18/733615945/whale-watchers-and-activists-disagree-over-expanded-protected-zone
Richard Harris,18,male,https://www.npr.org/sections/health-shots/2019/07/08/738528989/the-promises-and-pitfalls-of-gene-sequencing-for-newborns
Vanessa Romo,97,female,https://www.npr.org/2019/07/09/739906562/u-s-appeals-court-rules-trump-violated-first-amendment-by-blocking-twitter-follo
Richard Gonzales,117,male,https://www.npr.org/2019/06/18/733897949/utility-giant-pg-e-to-pay-1-billion-to-california-governments-for-wildfire-damag
Camila Domonoske,35,female,https://www.npr.org/2019/06/29/734525036/tesla-led-the-charge-but-more-premium-electric-vehicles-are-arriving
Colin Dwyer,42,male,https://www.npr.org/2019/06/07/730638739/barnes-noble-set-to-be-sold-to-elliott-management-for-about-683-million
Elissa Nadworny,12,female,https://www.npr.org/2019/07/09/738985632/these-are-the-people-struggling-the-most-to-pay-back-student-loans
Carrie Johnson,20,female,https://www.npr.org/2019/07/02/735506637/d-c-prosecutors-once-dubious-are-becoming-believers-in-restorative-justice
Tom Goldman,5,male,https://www.npr.org/2019/06/05/729344390/should-racehorses-be-medicated
Doreen Mccallister,6,female,https://www.npr.org/2019/04/26/717376099/boston-celtics-great-and-hall-of-famer-john-havlicek-dies-at-79
Laurel Wamsley,93,female,https://www.npr.org/2019/06/19/734165453/u-s-women-to-take-on-their-biggest-opponent-yet-with-game-against-sweden
Jessica Taylor,55,female,https://www.npr.org/2019/06/18/733505037/trump-set-to-officially-launch-reelection-but-hasnt-he-been-running-all-along
Tamara Keith,16,female,https://www.npr.org/2019/07/03/738139123/on-july-4-trump-could-continue-pattern-of-politics-in-unexpected-places
Lee Moran,13,male,https://www.huffingtonpost.com.au/entry/trump-accidentally-attacked-our-abc-it-had-the-cutest-clapback_au_5d08f3bbe4b0e560b7095a3b?utm_hp_ref=au-homepage
David Moye,2,male,http://www.huffingtonpost.com.au/2019/01/16/steve-carell-starring-in-netflix-comedy-based-on-trumps-space-force_a_23644564/?utm_hp_ref=au-homepage
